UE ID,Internet usage,Data rate,optimal GU
1239749,106.84849150261762,106.84849150261762,106.84849150261762
1228738,126.95865690098316,126.95865690098316,126.95865690098316
1154362,113.11585359333493,113.11585359333493,113.11585359333493
1132058,104.70980009811561,104.70980009811561,104.70980009811561
505883,109.37416858106822,109.37416858106822,109.37416858106822
84808,115.62307342158566,115.62307342158566,115.62307342158566
1097792,122.63172121919945,122.63172121919945,122.63172121919945
